Age,Job,Marital Status,Education,Default,Balance,Housing Loan,Personal Loan,Last Contact Duration,Subscription
58,management,married,tertiary,no,2143,yes,no,261,no
44,technician,single,secondary,no,29,yes,no,151,no
33,entrepreneur,married,secondary,no,2,yes,yes,76,no
47,blue-collar,married,unknown,no,1506,yes,no,92,no
33,unknown,single,unknown,no,1,no,no,198,no
35,management,married,tertiary,no,231,yes,no,139,no
28,management,single,tertiary,no,447,yes,yes,217,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,380,no
58,retired,married,primary,no,121,yes,no,50,no
43,technician,single,secondary,no,593,yes,no,55,no
41,admin.,divorced,secondary,no,270,yes,no,222,no
29,admin.,single,secondary,no,390,yes,no,137,no
53,technician,married,secondary,no,6,yes,no,517,no
58,technician,married,unknown,no,71,yes,no,71,no
57,services,married,secondary,no,162,yes,no,174,no
51,retired,married,primary,no,229,yes,no,353,no
45,admin.,single,unknown,no,13,yes,no,98,no
57,blue-collar,married,primary,no,52,yes,no,38,no
60,retired,married,primary,no,60,yes,no,219,no
33,services,married,secondary,no,0,yes,no,54,no
28,blue-collar,married,secondary,no,723,yes,yes,262,no
56,management,married,tertiary,no,779,yes,no,164,no
32,blue-collar,single,primary,no,23,yes,yes,160,no
25,services,married,secondary,no,50,yes,no,342,no
40,retired,married,primary,no,0,yes,yes,181,no
44,admin.,married,secondary,no,-372,yes,no,172,no
39,management,single,tertiary,no,255,yes,no,296,no
52,entrepreneur,married,secondary,no,113,yes,yes,127,no
46,management,single,secondary,no,-246,yes,no,255,no
36,technician,single,secondary,no,265,yes,yes,348,no
57,technician,married,secondary,no,839,no,yes,225,no
49,management,married,tertiary,no,378,yes,no,230,no
60,admin.,married,secondary,no,39,yes,yes,208,no
59,blue-collar,married,secondary,no,0,yes,no,226,no
51,management,married,tertiary,no,10635,yes,no,336,no
57,technician,divorced,secondary,no,63,yes,no,242,no
25,blue-collar,married,secondary,no,-7,yes,no,365,no
53,technician,married,secondary,no,-3,no,no,1666,no
36,admin.,divorced,secondary,no,506,yes,no,577,no
37,admin.,single,secondary,no,0,yes,no,137,no
44,services,divorced,secondary,no,2586,yes,no,160,no
50,management,married,secondary,no,49,yes,no,180,no
60,blue-collar,married,unknown,no,104,yes,no,22,no
54,retired,married,secondary,no,529,yes,no,1492,no
58,retired,married,unknown,no,96,yes,no,616,no
36,admin.,single,primary,no,-171,yes,no,242,no
58,self-employed,married,tertiary,no,-364,yes,no,355,no
44,technician,married,secondary,no,0,yes,no,225,no
55,technician,divorced,secondary,no,0,no,no,160,no
29,management,single,tertiary,no,0,yes,no,363,no
54,blue-collar,married,secondary,no,1291,yes,no,266,no
48,management,divorced,tertiary,no,-244,yes,no,253,no
32,management,married,tertiary,no,0,yes,no,179,no
42,admin.,single,secondary,no,-76,yes,no,787,no
24,technician,single,secondary,no,-103,yes,yes,145,no
38,entrepreneur,single,tertiary,no,243,no,yes,174,no
38,management,single,tertiary,no,424,yes,no,104,no
47,blue-collar,married,unknown,no,306,yes,no,13,no
40,blue-collar,single,unknown,no,24,yes,no,185,no
46,services,married,primary,no,179,yes,no,1778,no
32,admin.,married,tertiary,no,0,yes,no,138,no
53,technician,divorced,secondary,no,989,yes,no,812,no
57,blue-collar,married,primary,no,249,yes,no,164,no
33,services,married,secondary,no,790,yes,no,391,no
49,blue-collar,married,unknown,no,154,yes,no,357,no
51,management,married,tertiary,no,6530,yes,no,91,no
60,retired,married,tertiary,no,100,no,no,528,no
59,management,divorced,tertiary,no,59,yes,no,273,no
55,technician,married,secondary,no,1205,yes,no,158,no
35,blue-collar,single,secondary,no,12223,yes,yes,177,no
57,blue-collar,married,secondary,no,5935,yes,yes,258,no
31,services,married,secondary,no,25,yes,yes,172,no
54,management,married,secondary,no,282,yes,yes,154,no
55,blue-collar,married,primary,no,23,yes,no,291,no
43,technician,married,secondary,no,1937,yes,no,181,no
53,technician,married,secondary,no,384,yes,no,176,no
44,blue-collar,married,secondary,no,582,no,yes,211,no
55,services,divorced,secondary,no,91,no,no,349,no
49,services,divorced,secondary,no,0,yes,yes,272,no
55,services,divorced,secondary,yes,1,yes,no,208,no
45,admin.,single,secondary,no,206,yes,no,193,no
47,services,divorced,secondary,no,164,no,no,212,no
42,technician,single,secondary,no,690,yes,no,20,no
59,admin.,married,secondary,no,2343,yes,no,1042,yes
46,self-employed,married,tertiary,no,137,yes,yes,246,no
51,blue-collar,married,primary,no,173,yes,no,529,no
56,admin.,married,secondary,no,45,no,no,1467,yes
41,technician,married,secondary,no,1270,yes,no,1389,yes
46,management,divorced,secondary,no,16,yes,yes,188,no
57,retired,married,secondary,no,486,yes,no,180,no
42,management,single,secondary,no,50,no,no,48,no
30,technician,married,secondary,no,152,yes,yes,213,no
60,admin.,married,secondary,no,290,yes,no,583,no
60,blue-collar,married,unknown,no,54,yes,no,221,no
57,entrepreneur,divorced,secondary,no,-37,no,no,173,no
36,management,married,tertiary,no,101,yes,yes,426,no
55,blue-collar,married,secondary,no,383,no,no,287,no
60,retired,married,tertiary,no,81,yes,no,101,no
39,technician,married,secondary,no,0,yes,no,203,no
46,management,married,tertiary,no,229,yes,no,197,no
44,blue-collar,married,secondary,no,-674,yes,no,257,no
53,blue-collar,married,primary,no,90,no,no,124,no
52,blue-collar,married,primary,no,128,yes,no,229,no
59,blue-collar,married,primary,no,179,yes,no,55,no
27,technician,single,tertiary,no,0,yes,no,400,no
44,blue-collar,married,secondary,no,54,yes,no,197,no
47,technician,married,tertiary,no,151,yes,no,190,no
34,admin.,married,secondary,no,61,no,yes,21,no
59,retired,single,secondary,no,30,yes,no,514,no
45,management,married,tertiary,no,523,yes,no,849,no
29,services,divorced,secondary,no,31,yes,no,194,no
46,technician,divorced,secondary,no,79,no,no,144,no
56,self-employed,married,primary,no,-34,yes,yes,212,no
36,blue-collar,married,primary,no,448,yes,no,286,no
59,retired,divorced,primary,no,81,yes,no,107,no
44,blue-collar,married,secondary,no,144,yes,no,247,no
41,admin.,married,secondary,no,351,yes,no,518,no
33,management,single,tertiary,no,-67,yes,no,364,no
59,management,divorced,tertiary,no,262,no,no,178,no
57,technician,married,primary,no,0,no,no,98,no
56,technician,divorced,unknown,no,56,yes,no,439,no
51,blue-collar,married,secondary,no,26,yes,no,79,no
34,admin.,married,unknown,no,3,yes,no,120,no
43,services,married,secondary,no,41,yes,yes,127,no
52,technician,married,tertiary,no,7,no,yes,175,no
33,technician,single,secondary,no,105,yes,no,262,no
29,admin.,single,secondary,no,818,yes,yes,61,no
34,services,married,secondary,no,-16,yes,yes,78,no
31,blue-collar,married,secondary,no,0,yes,no,143,no
55,services,married,secondary,no,2476,yes,no,579,yes
55,management,married,unknown,no,1185,no,no,677,no
32,admin.,single,secondary,no,217,yes,no,345,no
38,technician,single,secondary,no,1685,yes,no,185,no
55,admin.,single,secondary,no,802,yes,yes,100,no
28,unemployed,single,tertiary,no,0,yes,no,125,no
23,blue-collar,married,secondary,no,94,yes,no,193,no
32,technician,single,secondary,no,0,yes,no,136,no
43,services,single,unknown,no,0,no,no,73,no
32,blue-collar,married,secondary,no,517,yes,no,528,no
46,blue-collar,married,secondary,no,265,yes,no,541,no
53,housemaid,divorced,primary,no,947,yes,no,163,no
34,self-employed,single,secondary,no,3,yes,no,301,no
57,unemployed,married,tertiary,no,42,no,no,46,no
37,blue-collar,married,secondary,no,37,yes,no,204,no
59,blue-collar,married,secondary,no,57,yes,no,98,no
33,services,married,secondary,no,22,yes,no,71,no
56,blue-collar,divorced,primary,no,8,yes,no,157,no
48,unemployed,married,secondary,no,293,yes,no,243,no
43,services,married,primary,no,3,yes,no,186,no
54,blue-collar,married,primary,no,348,yes,no,579,no
51,blue-collar,married,unknown,no,-19,yes,no,163,no
26,student,single,secondary,no,0,yes,no,610,no
40,management,married,tertiary,no,-4,yes,no,2033,no
39,management,married,secondary,no,18,yes,no,85,no
50,technician,married,primary,no,139,no,no,114,no
41,services,married,secondary,no,0,yes,no,114,no
51,blue-collar,married,unknown,no,1883,yes,no,57,no
60,retired,divorced,secondary,no,216,yes,no,238,no
52,blue-collar,married,secondary,no,782,yes,no,93,no
48,blue-collar,married,secondary,no,904,yes,no,128,no
48,services,married,unknown,no,1705,yes,no,107,no
39,technician,single,tertiary,no,47,yes,no,181,no
47,services,single,secondary,no,176,yes,no,303,no
40,blue-collar,married,secondary,no,1225,yes,no,558,no
45,technician,married,secondary,no,86,yes,no,270,no
26,admin.,single,secondary,no,82,yes,no,228,no
52,management,married,tertiary,no,271,yes,no,99,no
54,technician,married,secondary,no,1378,yes,no,240,no
54,admin.,married,tertiary,no,184,no,no,673,yes
50,blue-collar,married,primary,no,0,no,no,233,no
35,blue-collar,married,secondary,no,0,yes,no,1056,no
44,services,married,secondary,no,1357,yes,yes,250,no
53,entrepreneur,married,unknown,no,19,yes,no,252,no
35,retired,single,primary,no,434,no,no,138,no
60,admin.,divorced,secondary,no,92,yes,no,130,no
53,admin.,divorced,secondary,no,1151,yes,no,412,no
48,unemployed,married,secondary,no,41,yes,no,179,no
34,technician,married,secondary,no,51,yes,no,19,no
54,services,married,secondary,no,214,yes,no,458,no
51,management,married,secondary,no,1161,yes,no,717,no
31,services,married,tertiary,no,37,yes,no,313,no
35,technician,divorced,secondary,no,787,yes,no,683,no
35,services,married,secondary,no,59,yes,no,1077,no
38,technician,married,secondary,no,253,yes,no,416,no
36,admin.,married,tertiary,no,211,yes,no,146,no
58,retired,married,primary,no,235,yes,no,167,no
40,services,divorced,unknown,no,4384,yes,no,315,no
54,management,married,secondary,no,4080,no,no,140,no
34,blue-collar,single,secondary,no,53,yes,yes,346,no
31,management,single,tertiary,no,0,yes,no,562,no
51,retired,married,secondary,no,2127,yes,no,172,no
33,management,married,tertiary,no,377,yes,no,217,no
55,management,married,tertiary,no,73,yes,no,142,no
42,admin.,married,secondary,no,445,yes,no,67,no
34,blue-collar,married,secondary,no,243,yes,no,291,no
33,blue-collar,single,secondary,no,307,yes,no,309,no
38,services,married,secondary,no,155,yes,no,248,no
50,technician,divorced,tertiary,no,173,no,yes,98,no
43,management,married,tertiary,no,400,yes,no,256,no
61,blue-collar,divorced,primary,no,1428,yes,no,82,no
47,admin.,married,secondary,no,219,yes,no,577,no
48,self-employed,married,tertiary,no,7,yes,no,286,no
44,blue-collar,married,secondary,no,575,yes,no,477,no
35,student,single,unknown,no,298,yes,no,611,no
35,services,married,secondary,no,0,yes,no,471,no
50,services,married,secondary,no,5699,yes,no,381,no
41,management,married,tertiary,no,176,yes,yes,42,no
41,management,married,tertiary,no,517,yes,no,251,no
39,services,single,unknown,no,257,yes,no,408,no
42,retired,married,secondary,no,56,yes,no,215,no
38,blue-collar,married,secondary,no,-390,yes,no,287,no
53,retired,married,secondary,no,330,yes,no,216,no
59,housemaid,divorced,primary,no,195,no,no,366,no
36,services,married,secondary,no,301,yes,no,210,no
54,blue-collar,married,primary,no,-41,yes,no,288,no
40,technician,married,tertiary,no,483,yes,no,168,no
47,unknown,married,unknown,no,28,no,no,338,no
53,unemployed,married,unknown,no,13,no,no,410,no
46,housemaid,married,primary,no,965,no,no,177,no
39,management,married,tertiary,no,378,yes,yes,127,no
40,unemployed,married,secondary,no,219,yes,no,357,no
28,blue-collar,married,primary,no,324,yes,no,175,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,300,no
55,retired,married,secondary,no,0,no,yes,136,no
43,technician,divorced,unknown,no,205,yes,no,1419,no
48,blue-collar,married,primary,no,278,yes,no,125,no
58,management,married,unknown,no,1065,yes,no,213,no
33,management,single,tertiary,no,34,yes,no,27,no
36,blue-collar,married,unknown,no,1033,no,no,238,no
53,services,divorced,secondary,no,1467,yes,no,124,no
47,blue-collar,married,primary,no,-12,yes,no,18,no
31,services,married,secondary,no,388,yes,no,730,no
57,entrepreneur,married,secondary,no,294,yes,no,746,no
53,blue-collar,married,unknown,no,1827,no,no,121,no
55,blue-collar,married,primary,no,627,yes,no,247,no
45,blue-collar,married,primary,no,25,yes,no,40,no
53,admin.,divorced,secondary,no,315,yes,no,181,no
37,blue-collar,married,primary,no,0,yes,no,79,no
44,admin.,divorced,secondary,no,66,yes,no,206,no
49,blue-collar,divorced,primary,no,-9,yes,yes,389,no
46,technician,married,secondary,no,349,yes,yes,127,no
43,entrepreneur,married,unknown,no,100,yes,no,702,no
38,admin.,married,secondary,no,0,no,no,151,no
43,technician,married,secondary,no,434,yes,no,117,no
49,management,married,tertiary,no,3237,yes,no,232,no
42,management,married,unknown,no,275,no,no,408,no
22,blue-collar,single,secondary,no,0,yes,no,179,no
40,management,married,tertiary,no,207,yes,no,39,no
39,blue-collar,married,secondary,no,483,yes,no,282,no
51,services,married,secondary,no,2248,yes,no,714,no
49,admin.,married,secondary,no,428,yes,no,50,no
53,blue-collar,married,secondary,no,0,yes,yes,181,no
34,services,single,secondary,no,0,yes,no,142,no
33,technician,divorced,secondary,no,140,yes,no,227,no
50,management,single,tertiary,no,297,yes,no,119,no
39,blue-collar,married,primary,no,279,yes,no,361,no
59,entrepreneur,divorced,secondary,no,901,yes,no,73,no
30,technician,single,secondary,no,2573,yes,no,67,no
36,services,married,secondary,no,143,yes,yes,350,no
40,blue-collar,married,secondary,no,475,yes,no,332,no
53,blue-collar,married,secondary,no,70,yes,no,611,no
34,management,single,tertiary,no,318,yes,no,113,no
37,technician,married,secondary,no,275,yes,no,132,no
42,management,divorced,tertiary,no,742,yes,no,58,no
41,entrepreneur,married,primary,no,236,yes,no,151,no
30,student,single,tertiary,no,25,yes,no,89,no
37,management,single,tertiary,no,600,yes,no,152,no
39,admin.,divorced,secondary,no,-349,yes,no,611,no
41,blue-collar,married,primary,no,183,yes,yes,110,no
40,blue-collar,married,primary,no,0,yes,no,463,no
42,management,single,tertiary,no,0,yes,yes,562,yes
40,blue-collar,divorced,primary,no,0,yes,no,962,no
57,technician,married,secondary,no,1078,yes,no,10,no
56,entrepreneur,divorced,secondary,no,155,no,no,118,no
37,admin.,married,secondary,no,190,yes,no,92,no
59,retired,married,secondary,no,319,yes,no,143,no
39,services,divorced,secondary,no,-185,yes,no,189,no
49,services,married,secondary,no,47,no,no,234,no
38,services,single,secondary,no,570,yes,no,75,no
36,self-employed,married,tertiary,no,19,no,no,189,no
50,blue-collar,married,primary,no,61,yes,no,621,no
41,admin.,married,secondary,no,-62,yes,yes,55,no
54,technician,married,tertiary,no,258,no,no,310,no
58,blue-collar,married,primary,no,76,yes,no,156,no
30,blue-collar,single,secondary,no,0,yes,no,5,no
33,admin.,single,secondary,no,352,yes,no,225,no
47,admin.,married,secondary,no,368,yes,no,125,no
50,technician,single,tertiary,no,339,yes,no,2,no
32,blue-collar,married,secondary,no,1331,yes,no,286,no
40,self-employed,married,secondary,no,672,yes,no,164,no
37,management,married,tertiary,no,58,yes,no,98,no
54,technician,single,unknown,no,447,yes,no,742,no
24,student,single,secondary,no,423,yes,no,226,no
54,management,married,tertiary,no,0,no,no,120,no
34,technician,married,secondary,no,19,yes,no,362,no
56,technician,divorced,primary,no,13,yes,no,357,no
31,blue-collar,single,secondary,no,3,yes,no,200,no
24,student,single,secondary,no,82,yes,no,204,no
42,blue-collar,divorced,primary,no,28,yes,no,126,no
57,technician,married,secondary,no,792,yes,no,65,no
42,blue-collar,married,unknown,no,408,yes,no,107,no
51,admin.,married,secondary,no,531,yes,no,267,no
57,retired,married,secondary,no,211,yes,no,248,no
36,services,single,secondary,no,62,yes,no,215,no
53,services,married,unknown,no,257,yes,no,209,no
50,technician,married,secondary,no,1234,yes,no,205,no
54,management,married,tertiary,no,313,yes,no,83,no
55,blue-collar,married,secondary,no,89,yes,no,106,no
44,blue-collar,married,secondary,no,129,yes,yes,189,no
43,management,married,unknown,no,0,yes,no,105,no
56,admin.,married,secondary,no,353,yes,no,106,no
54,technician,married,unknown,no,851,yes,no,108,no
55,services,divorced,primary,no,96,yes,yes,311,no
37,services,divorced,secondary,no,398,yes,yes,214,no
33,admin.,single,tertiary,no,193,no,no,132,no
46,admin.,married,secondary,no,-358,yes,no,358,no
36,blue-collar,married,secondary,no,539,yes,yes,453,no
51,technician,single,secondary,no,0,yes,no,364,no
40,retired,single,primary,no,0,no,no,136,no
42,blue-collar,married,secondary,no,490,yes,no,386,no
51,blue-collar,married,secondary,no,0,yes,no,173,no
49,blue-collar,married,unknown,no,403,yes,no,241,no
48,management,married,secondary,no,161,yes,no,224,no
32,technician,divorced,tertiary,no,2558,no,no,148,no
31,admin.,single,secondary,no,98,yes,no,196,no
55,management,single,tertiary,no,115,no,no,111,no
40,blue-collar,single,secondary,no,436,yes,no,231,no
47,technician,married,tertiary,no,831,yes,no,316,no
57,technician,married,unknown,no,206,yes,no,216,no
41,blue-collar,married,secondary,no,290,yes,no,240,no
48,blue-collar,married,secondary,no,1,no,no,669,no
42,blue-collar,married,unknown,no,57,yes,no,425,no
30,blue-collar,single,secondary,no,-457,yes,no,143,no
58,management,single,tertiary,no,1387,yes,no,174,no
45,management,divorced,tertiary,no,24598,yes,no,313,no
49,blue-collar,married,secondary,no,30,yes,no,135,no
42,admin.,single,secondary,no,1022,yes,no,146,no
53,technician,married,secondary,no,56,yes,yes,152,no
51,admin.,single,secondary,yes,-2,no,no,402,no
32,services,single,secondary,no,121,yes,no,213,no
41,blue-collar,single,secondary,no,842,yes,no,144,no
43,management,divorced,secondary,no,693,yes,no,124,no
40,blue-collar,divorced,secondary,no,-333,yes,no,183,no
50,blue-collar,married,primary,no,1533,yes,no,325,no
34,management,married,tertiary,no,46,yes,no,39,no
53,services,married,unknown,no,18,no,no,503,no
45,technician,married,secondary,no,44,yes,no,95,no
39,blue-collar,married,primary,no,-100,yes,no,680,no
44,services,married,tertiary,no,510,yes,no,421,no
55,management,married,tertiary,no,685,yes,no,174,no
46,management,single,tertiary,no,187,yes,no,113,no
45,blue-collar,married,secondary,no,66,yes,no,808,no
34,admin.,married,secondary,no,560,yes,no,198,no
36,blue-collar,married,secondary,no,0,yes,no,195,no
59,unknown,divorced,unknown,no,27,no,no,347,no
31,admin.,single,secondary,no,12,yes,no,208,no
44,blue-collar,single,secondary,no,34,yes,no,404,no
33,entrepreneur,single,tertiary,no,1068,yes,no,396,no
40,blue-collar,married,secondary,no,211,yes,no,216,no
46,admin.,single,tertiary,no,377,yes,no,98,no
48,management,married,tertiary,no,263,yes,no,350,no
42,services,married,secondary,no,1263,yes,no,114,no
27,services,married,secondary,no,8,yes,no,88,no
48,admin.,married,secondary,no,126,yes,yes,379,no
59,admin.,married,secondary,no,230,yes,no,190,no
46,technician,married,tertiary,no,841,yes,no,158,no
38,admin.,divorced,secondary,no,308,yes,no,102,no
43,management,divorced,tertiary,no,1,yes,no,306,no
38,admin.,divorced,tertiary,no,86,yes,no,218,no
23,student,single,secondary,no,157,yes,no,54,no
34,services,married,secondary,no,22,yes,no,344,no
38,admin.,married,secondary,no,46,yes,yes,195,no
37,blue-collar,married,secondary,no,1293,no,no,652,no
25,admin.,single,secondary,no,122,yes,no,286,no
48,blue-collar,married,unknown,no,131,yes,no,189,no
49,blue-collar,single,secondary,no,143,yes,no,83,no
38,admin.,single,secondary,no,393,no,no,184,no
43,blue-collar,married,primary,no,98,yes,no,235,no
33,management,married,tertiary,no,0,yes,no,290,no
55,blue-collar,married,secondary,no,224,yes,no,232,no
38,blue-collar,married,secondary,no,757,yes,no,133,no
49,services,married,secondary,no,245,yes,yes,318,no
40,management,married,secondary,no,8486,no,no,260,no
43,admin.,married,unknown,no,350,no,no,437,no
38,blue-collar,married,secondary,no,20,yes,no,402,no
58,services,married,secondary,no,1667,yes,yes,85,no
57,technician,married,unknown,no,345,yes,no,125,no
32,unemployed,married,secondary,no,10,yes,no,501,no
56,management,married,tertiary,no,830,yes,yes,1201,yes
58,blue-collar,divorced,unknown,no,29,yes,no,253,no
60,retired,divorced,secondary,no,545,yes,no,1030,yes
37,technician,married,tertiary,no,8730,yes,no,149,no
46,technician,divorced,tertiary,no,477,yes,no,114,no
27,admin.,married,secondary,no,4,yes,no,243,no
43,blue-collar,married,secondary,no,1205,yes,no,769,no
32,technician,single,secondary,no,0,yes,yes,135,no
40,admin.,single,secondary,no,263,yes,no,231,no
38,admin.,married,secondary,no,1,no,no,76,no
34,blue-collar,married,secondary,no,283,no,yes,199,no
47,blue-collar,married,primary,no,206,yes,no,152,no
42,housemaid,married,primary,no,17,yes,no,124,no
48,technician,married,secondary,no,141,yes,yes,424,no
29,self-employed,single,tertiary,no,16,yes,no,43,no
50,services,married,secondary,no,206,yes,no,154,no
52,technician,married,unknown,no,7,no,no,203,no
50,management,married,tertiary,no,0,no,no,326,no
58,retired,married,tertiary,no,0,no,no,393,no
46,blue-collar,divorced,primary,no,1927,yes,no,241,no
38,technician,married,secondary,no,284,yes,no,483,no
46,blue-collar,married,secondary,no,1660,yes,no,259,no
32,services,single,secondary,no,406,yes,no,227,no
51,blue-collar,married,primary,no,230,yes,no,673,no
39,admin.,single,secondary,no,-25,yes,no,576,no
48,admin.,married,secondary,no,182,yes,no,180,no
36,entrepreneur,married,tertiary,no,1169,yes,no,168,no
34,admin.,divorced,secondary,no,67,yes,no,90,no
40,technician,married,secondary,no,77,no,no,505,no
43,unemployed,married,secondary,no,0,yes,no,245,no
52,blue-collar,divorced,primary,no,55,yes,yes,186,no
33,technician,married,secondary,yes,72,yes,no,623,no
49,management,single,tertiary,no,163,yes,no,496,no
32,management,single,tertiary,no,151,yes,no,118,no
39,admin.,single,secondary,no,113,yes,no,342,no
40,blue-collar,married,secondary,no,0,yes,no,225,no
38,technician,single,tertiary,no,9,yes,no,185,no
43,management,married,secondary,no,375,yes,no,196,no
39,services,married,secondary,no,1142,yes,no,276,no
54,blue-collar,married,primary,no,2102,yes,no,76,no
38,technician,single,tertiary,no,4325,yes,no,87,no
40,blue-collar,married,secondary,no,217,yes,no,195,no
55,admin.,married,secondary,no,131,yes,no,744,no
42,management,married,tertiary,no,1680,yes,no,765,no
39,blue-collar,married,secondary,no,0,yes,no,262,no
40,blue-collar,married,primary,no,46,yes,no,119,no
32,blue-collar,married,secondary,no,320,yes,no,198,no
55,admin.,married,secondary,no,183,yes,no,150,no
45,blue-collar,married,secondary,no,39,no,no,241,no
35,management,single,tertiary,no,560,yes,no,181,no
58,technician,divorced,secondary,no,469,no,no,196,no
35,admin.,married,secondary,no,530,yes,no,149,no
49,services,married,primary,no,61,yes,no,246,no
34,technician,single,tertiary,no,242,yes,no,112,no
36,blue-collar,married,secondary,no,139,yes,no,309,no
24,self-employed,single,secondary,no,0,yes,no,278,no
34,technician,married,secondary,no,367,yes,no,140,no
51,admin.,divorced,secondary,no,228,yes,no,136,no
39,technician,single,unknown,no,45248,yes,no,1623,yes
50,self-employed,married,unknown,no,-84,yes,no,101,no
32,services,single,secondary,no,310,yes,no,144,no
42,blue-collar,married,unknown,no,132,yes,no,238,no
50,technician,married,secondary,no,797,yes,no,354,no
40,services,married,secondary,no,71,no,no,79,no
46,management,divorced,unknown,no,2,yes,no,187,no
37,management,married,tertiary,no,231,yes,yes,451,no
34,blue-collar,married,secondary,no,270,yes,yes,159,no
44,blue-collar,married,secondary,no,274,yes,yes,409,no
40,admin.,single,secondary,no,-109,yes,yes,170,no
37,technician,married,secondary,no,1,yes,no,608,yes
33,blue-collar,single,secondary,yes,-60,no,no,243,no
35,blue-collar,married,secondary,no,89,yes,no,145,no
58,blue-collar,divorced,secondary,no,-11,no,no,112,no
39,blue-collar,married,primary,no,0,yes,no,262,no
43,blue-collar,married,secondary,no,-509,yes,no,124,no
39,unemployed,married,primary,no,408,yes,no,53,no
36,services,single,primary,no,58,yes,no,134,no
57,retired,single,secondary,no,1640,no,yes,204,no
36,admin.,single,secondary,no,20,yes,no,186,no
50,blue-collar,married,primary,no,71,yes,no,678,no
55,blue-collar,married,secondary,no,52,yes,no,182,no
44,self-employed,married,tertiary,no,292,yes,no,162,no
44,services,divorced,secondary,no,424,yes,no,27,no
39,housemaid,single,primary,no,109,yes,no,699,no
46,blue-collar,married,unknown,no,1044,yes,no,43,no
39,blue-collar,married,secondary,no,983,yes,no,97,no
34,admin.,married,secondary,no,869,no,no,1677,yes
40,blue-collar,married,primary,no,668,yes,no,283,no
50,management,married,tertiary,no,964,yes,no,323,no
31,management,single,secondary,no,301,yes,no,82,no
37,admin.,single,secondary,no,140,yes,no,310,no
39,management,single,secondary,no,1877,yes,no,185,no
51,blue-collar,married,primary,no,1127,yes,no,47,no
41,technician,married,secondary,no,871,yes,no,145,no
41,technician,married,secondary,no,767,yes,yes,204,no
43,blue-collar,married,secondary,no,0,no,no,187,no
30,services,single,secondary,no,209,yes,no,30,no
54,management,divorced,primary,no,0,no,no,472,no
43,blue-collar,divorced,secondary,no,110,yes,yes,448,no
59,management,divorced,tertiary,no,-76,yes,yes,264,no
47,technician,married,unknown,no,178,yes,no,169,no
40,blue-collar,married,primary,no,-66,yes,no,288,no
32,technician,married,secondary,no,0,yes,no,176,no
29,blue-collar,married,secondary,no,1,yes,no,215,no
36,blue-collar,married,secondary,no,0,yes,no,337,no
55,unemployed,married,tertiary,no,5345,no,no,278,no
