Age,Job,Marital Status,Education,Default,Balance,Housing Loan,Personal Loan,Last Contact Duration,Subscription
30,blue-collar,divorced,secondary,no,-209,yes,no,188,no
39,admin.,single,secondary,no,0,yes,no,174,no
39,blue-collar,divorced,secondary,no,42,yes,no,226,no
50,blue-collar,divorced,secondary,no,41,yes,no,190,no
44,blue-collar,married,secondary,no,-99,yes,no,111,no
37,technician,single,secondary,no,17,yes,no,164,no
46,admin.,married,primary,no,276,yes,yes,157,no
32,technician,single,unknown,no,-170,no,no,46,no
37,management,single,tertiary,no,230,yes,yes,374,no
29,blue-collar,married,secondary,no,9,yes,no,349,no
41,blue-collar,married,secondary,no,946,yes,no,325,no
45,blue-collar,married,primary,no,1297,yes,no,233,no
57,retired,divorced,secondary,no,-331,yes,no,531,no
48,blue-collar,single,secondary,no,44,yes,no,153,no
60,retired,married,secondary,yes,15,no,no,80,no
26,admin.,single,secondary,no,712,yes,no,232,no
58,retired,married,secondary,no,5435,yes,no,118,no
34,admin.,married,secondary,no,507,yes,no,190,no
55,unemployed,divorced,secondary,no,387,yes,no,918,yes
41,blue-collar,married,primary,no,0,yes,yes,238,no
50,management,divorced,secondary,no,1716,yes,no,82,no
49,entrepreneur,married,secondary,no,167,yes,yes,198,no
44,admin.,married,unknown,no,40,no,yes,160,no
44,blue-collar,married,primary,no,148,yes,no,211,no
31,technician,married,secondary,no,17,yes,yes,120,no
34,blue-collar,single,tertiary,no,1011,yes,no,136,no
46,management,single,unknown,no,1527,yes,no,269,no
42,management,married,tertiary,no,744,no,no,157,no
52,admin.,married,secondary,no,484,yes,no,128,no
29,management,single,tertiary,no,0,yes,no,211,no
53,retired,married,primary,no,136,yes,no,267,no
43,blue-collar,married,secondary,no,1335,yes,no,371,no
38,management,married,secondary,no,517,yes,no,288,no
46,management,married,tertiary,no,459,yes,no,221,no
48,management,divorced,unknown,no,549,yes,no,427,no
30,admin.,divorced,secondary,no,83,yes,yes,310,no
44,blue-collar,married,primary,no,213,no,no,158,no
31,housemaid,married,primary,no,203,yes,no,604,no
42,services,single,secondary,no,518,yes,no,198,no
40,management,single,tertiary,no,3877,yes,no,145,no
52,admin.,married,secondary,no,1236,yes,no,247,no
45,blue-collar,divorced,secondary,no,756,yes,no,179,no
48,blue-collar,married,secondary,no,157,yes,no,73,no
45,blue-collar,married,primary,no,-66,yes,no,263,no
34,blue-collar,married,unknown,no,245,yes,no,13,no
34,blue-collar,married,primary,no,-144,yes,no,79,no
46,blue-collar,married,secondary,no,71,yes,no,416,no
49,services,divorced,secondary,no,505,yes,no,162,no
50,technician,married,primary,no,249,yes,no,129,no
34,admin.,single,secondary,no,0,yes,no,150,no
40,unemployed,single,secondary,no,11,yes,no,43,no
36,admin.,married,secondary,no,639,yes,no,191,no
59,blue-collar,divorced,unknown,no,124,yes,no,26,no
45,blue-collar,married,secondary,no,82,yes,no,250,no
36,self-employed,married,tertiary,no,107,yes,no,146,no
56,services,married,secondary,no,473,yes,no,416,no
42,services,divorced,secondary,no,372,yes,yes,121,no
30,admin.,married,secondary,no,46,yes,no,114,no
30,student,single,tertiary,no,34,yes,no,289,no
47,self-employed,married,unknown,no,935,yes,no,225,no
33,blue-collar,married,secondary,no,-10,yes,no,123,no
36,admin.,married,secondary,no,-106,yes,no,130,no
39,services,divorced,primary,no,471,yes,no,161,no
56,admin.,divorced,secondary,no,778,yes,no,149,no
39,blue-collar,divorced,unknown,no,170,yes,no,268,no
42,technician,married,secondary,no,315,yes,no,259,no
52,blue-collar,married,secondary,no,3165,no,no,26,no
36,admin.,divorced,secondary,no,131,yes,no,153,no
35,entrepreneur,married,secondary,yes,204,yes,no,424,no
47,technician,married,secondary,no,83,yes,no,179,no
59,services,divorced,secondary,no,0,yes,yes,97,no
57,blue-collar,married,primary,no,5431,yes,yes,383,no
38,management,married,unknown,no,1759,yes,no,440,no
46,unemployed,married,secondary,no,-125,yes,no,23,no
34,blue-collar,married,secondary,no,0,no,no,195,no
28,services,single,secondary,no,5090,yes,no,1297,yes
38,technician,married,unknown,no,573,yes,no,87,no
56,blue-collar,married,secondary,no,1602,yes,no,427,no
41,blue-collar,single,primary,yes,-137,yes,yes,189,no
52,technician,married,unknown,no,0,no,no,195,no
54,services,married,secondary,no,193,no,no,179,no
61,retired,married,secondary,no,195,yes,yes,179,no
53,entrepreneur,married,secondary,no,288,no,no,69,no
47,technician,married,secondary,no,19,yes,no,105,no
53,blue-collar,married,primary,no,25,yes,no,266,no
46,services,married,secondary,no,216,yes,no,524,no
39,blue-collar,divorced,primary,no,190,yes,yes,96,no
56,technician,divorced,secondary,no,99,yes,no,155,no
55,services,divorced,primary,no,2298,yes,no,162,no
44,management,married,tertiary,no,17,yes,no,352,no
37,technician,married,primary,no,0,yes,no,76,no
35,blue-collar,married,primary,no,0,yes,no,154,no
55,blue-collar,married,secondary,no,840,yes,no,310,no
37,services,married,secondary,no,358,yes,no,390,no
30,technician,single,secondary,no,0,yes,no,369,no
37,blue-collar,married,primary,no,-325,yes,yes,112,no
36,technician,single,secondary,no,-15,yes,no,341,no
38,technician,married,secondary,no,581,yes,no,79,no
41,admin.,divorced,primary,no,4070,yes,no,140,no
48,retired,married,secondary,no,74,no,yes,315,no
55,services,divorced,secondary,no,141,yes,no,262,no
28,services,divorced,secondary,no,89,no,no,174,no
54,services,married,secondary,yes,0,yes,no,138,no
30,blue-collar,married,secondary,no,450,no,no,526,no
48,technician,married,tertiary,no,310,no,no,135,no
31,self-employed,married,secondary,no,0,yes,no,36,no
38,blue-collar,married,secondary,no,384,yes,no,1906,no
37,blue-collar,married,secondary,no,395,yes,no,219,no
37,services,single,unknown,no,-118,yes,no,147,no
56,blue-collar,married,primary,no,5,yes,yes,407,no
51,blue-collar,married,secondary,no,50,yes,yes,121,no
39,blue-collar,married,secondary,no,285,yes,yes,209,no
49,technician,married,unknown,no,15,no,no,92,no
51,blue-collar,married,primary,no,653,yes,yes,208,no
43,self-employed,married,secondary,no,918,yes,no,193,no
32,services,married,secondary,no,243,yes,yes,144,no
29,technician,single,tertiary,no,405,yes,no,65,no
48,management,divorced,tertiary,no,1328,yes,no,339,no
55,services,married,primary,no,255,yes,no,285,no
53,blue-collar,married,secondary,no,3397,yes,no,231,no
47,technician,married,unknown,no,2106,yes,no,168,no
39,management,married,tertiary,no,2877,yes,no,278,no
31,blue-collar,single,tertiary,no,60,yes,yes,389,no
39,blue-collar,married,primary,no,2226,yes,no,158,no
40,blue-collar,married,primary,no,2880,yes,no,145,no
40,technician,single,unknown,no,-5,yes,no,78,no
48,technician,married,secondary,no,147,no,no,142,no
33,technician,divorced,secondary,no,7,yes,yes,87,no
40,technician,married,secondary,no,109,yes,no,147,no
59,retired,married,primary,no,-119,yes,no,289,no
30,technician,married,secondary,no,484,yes,no,703,yes
69,retired,married,secondary,no,2473,no,no,967,yes
19,student,single,secondary,no,372,no,no,444,yes
35,blue-collar,single,unknown,no,484,no,no,344,yes
38,admin.,married,secondary,no,1767,yes,no,483,yes
32,technician,single,unknown,no,491,no,no,474,yes
50,unknown,married,unknown,no,558,no,no,464,yes
27,technician,single,secondary,no,337,no,no,23,yes
53,admin.,single,secondary,no,654,no,no,67,yes
35,self-employed,married,tertiary,no,2427,no,no,210,yes
66,retired,divorced,unknown,no,53,no,no,562,yes
43,admin.,single,secondary,no,386,no,no,220,yes
30,self-employed,single,tertiary,no,251,no,no,537,yes
57,retired,married,secondary,no,1044,no,no,567,yes
36,management,married,tertiary,no,93,no,no,262,yes
31,management,single,tertiary,no,2907,yes,no,248,yes
47,admin.,single,secondary,no,3696,no,no,250,yes
65,retired,divorced,secondary,no,828,no,no,305,yes
25,blue-collar,single,secondary,no,1857,yes,no,195,yes
33,management,single,tertiary,no,1962,no,no,363,yes
29,self-employed,single,tertiary,no,1579,no,no,178,yes
79,retired,divorced,primary,no,2787,no,no,617,yes
24,student,single,secondary,no,1123,no,no,475,yes
27,technician,single,secondary,no,643,no,no,317,yes
36,management,single,unknown,no,62,no,no,311,yes
31,unemployed,married,tertiary,no,330,no,no,309,yes
22,student,single,secondary,no,71,no,no,337,yes
36,services,married,unknown,no,618,no,no,360,yes
40,management,married,tertiary,no,4539,no,no,256,yes
31,technician,married,tertiary,no,2166,no,no,577,yes
26,blue-collar,single,secondary,no,2007,no,no,272,yes
51,management,married,tertiary,no,3463,no,yes,371,yes
70,retired,divorced,primary,no,482,no,no,413,yes
24,student,single,primary,no,1235,no,no,334,yes
23,student,single,secondary,no,1298,no,no,603,yes
41,technician,single,secondary,no,5329,no,no,397,yes
53,technician,married,primary,no,6181,no,no,817,yes
86,retired,married,primary,no,1255,no,no,247,yes
27,student,single,unknown,no,132,no,no,276,yes
34,technician,single,tertiary,no,2733,no,no,604,yes
68,retired,divorced,secondary,no,4189,no,no,897,yes
35,management,married,secondary,no,724,yes,no,287,yes
28,student,single,secondary,no,205,no,no,87,yes
66,retired,married,secondary,no,154,no,no,268,yes
30,management,single,tertiary,no,232,no,no,219,yes
60,retired,divorced,tertiary,no,979,yes,no,346,yes
46,admin.,married,secondary,no,5021,no,no,957,yes
47,admin.,married,secondary,no,3676,no,no,415,yes
31,technician,single,secondary,no,2544,no,no,252,yes
68,retired,married,secondary,no,2469,yes,no,552,yes
63,blue-collar,married,secondary,no,180,no,no,390,yes
42,unemployed,married,secondary,no,1289,no,no,250,yes
29,student,single,secondary,no,658,no,no,198,yes
61,retired,married,secondary,no,938,no,no,392,yes
35,services,married,secondary,no,2918,no,yes,815,yes
43,unemployed,married,tertiary,no,0,no,no,745,yes
64,retired,married,secondary,no,588,no,no,574,yes
22,student,single,primary,no,423,no,no,316,yes
49,blue-collar,married,secondary,no,1946,no,no,486,yes
19,student,single,secondary,no,302,no,no,205,yes
31,management,divorced,tertiary,no,414,no,yes,241,yes
37,management,married,tertiary,no,0,no,no,268,yes
48,unemployed,married,secondary,no,817,no,no,806,yes
33,technician,married,secondary,no,183,no,no,457,yes
39,blue-collar,married,secondary,no,2467,no,no,207,yes
34,technician,married,secondary,no,806,no,no,253,yes
46,technician,married,secondary,no,9299,no,no,1148,yes
42,management,married,unknown,no,1519,no,no,268,yes
60,admin.,married,unknown,no,478,no,no,173,yes
36,management,divorced,tertiary,no,1057,no,no,230,yes
32,entrepreneur,married,tertiary,no,762,no,no,187,yes
45,management,married,tertiary,no,31472,no,no,568,yes
44,management,single,tertiary,no,1090,no,no,204,yes
57,retired,married,secondary,no,3738,yes,no,178,yes
29,admin.,single,secondary,no,1277,no,no,165,yes
31,unemployed,divorced,tertiary,no,756,no,no,355,yes
54,blue-collar,married,secondary,no,1636,no,no,1008,yes
49,management,divorced,tertiary,no,300,no,no,316,yes
35,admin.,single,secondary,no,321,no,no,143,yes
24,student,single,secondary,no,1234,no,no,314,yes
24,admin.,single,secondary,no,1295,no,no,355,yes
43,management,married,tertiary,no,839,no,no,942,yes
34,unemployed,single,tertiary,no,1974,no,no,355,yes
60,unemployed,married,primary,no,0,no,no,1193,yes
27,admin.,married,tertiary,no,2855,no,no,138,yes
54,management,divorced,tertiary,no,5475,no,no,321,yes
38,management,married,tertiary,no,536,yes,no,248,yes
34,technician,single,secondary,no,1279,yes,no,174,yes
93,retired,married,unknown,no,775,no,no,860,yes
36,management,married,tertiary,no,203,no,no,608,yes
33,admin.,single,tertiary,no,146,no,no,351,yes
37,technician,single,tertiary,no,0,yes,no,366,yes
35,management,married,tertiary,no,4124,yes,no,350,yes
41,admin.,married,secondary,no,14968,no,no,1360,yes
36,technician,divorced,secondary,no,1451,yes,no,192,yes
30,student,single,tertiary,no,3026,no,no,251,yes
41,technician,single,tertiary,no,431,no,no,196,yes
29,management,single,tertiary,no,985,yes,no,396,yes
82,retired,married,primary,no,243,no,no,275,yes
56,retired,married,secondary,no,393,no,yes,183,yes
37,technician,married,secondary,no,1707,yes,no,546,yes
46,admin.,married,unknown,no,5511,no,no,414,yes
44,self-employed,divorced,secondary,no,8,no,no,423,yes
61,self-employed,married,tertiary,no,10861,no,no,336,yes
23,student,single,secondary,no,794,no,no,607,yes
69,retired,married,secondary,no,0,no,no,666,yes
33,services,single,unknown,no,2297,no,no,527,yes
33,management,single,tertiary,no,373,no,yes,267,yes
23,management,single,tertiary,no,1807,no,no,606,yes
45,technician,married,secondary,no,2776,yes,no,287,yes
61,retired,married,secondary,no,1058,no,no,218,yes
46,technician,married,unknown,no,3308,no,no,219,yes
40,admin.,married,secondary,no,0,no,no,496,yes
55,technician,married,tertiary,no,1320,no,no,340,yes
39,unemployed,married,primary,no,7005,yes,no,429,yes
82,housemaid,divorced,primary,no,1381,no,no,844,yes
27,technician,single,secondary,no,204,no,no,471,yes
26,technician,married,secondary,no,267,yes,no,817,yes
22,unemployed,single,tertiary,no,993,no,no,115,yes
27,student,single,tertiary,no,311,no,no,462,yes
53,blue-collar,married,primary,no,306,no,no,388,yes
54,management,married,tertiary,no,752,no,no,211,yes
64,retired,married,secondary,no,1574,no,no,301,yes
57,technician,married,tertiary,no,1181,no,no,169,yes
31,management,single,tertiary,no,1761,yes,no,332,yes
61,admin.,married,unknown,no,4629,yes,no,349,yes
35,unemployed,single,tertiary,no,154,no,no,200,yes
77,retired,married,secondary,no,4112,no,no,426,yes
36,services,married,secondary,no,11650,yes,no,268,yes
32,management,married,tertiary,no,6138,no,no,519,yes
25,services,single,unknown,no,2022,no,no,276,yes
61,management,married,unknown,no,264,no,no,270,yes
69,retired,single,tertiary,no,2144,no,no,417,yes
69,technician,married,tertiary,no,482,no,no,478,yes
34,admin.,married,tertiary,no,0,no,no,292,yes
71,technician,married,secondary,no,3020,no,no,304,yes
45,management,single,tertiary,no,4831,no,no,852,yes
64,retired,married,primary,no,12067,no,no,367,yes
35,technician,single,secondary,no,1227,no,no,1005,yes
22,student,single,unknown,no,1232,no,no,283,yes
32,services,single,secondary,no,1168,yes,no,411,yes
29,management,single,secondary,no,703,yes,no,236,yes
32,blue-collar,married,secondary,no,136,no,no,206,yes
75,retired,divorced,tertiary,no,3810,yes,no,262,yes
29,management,single,tertiary,no,765,no,no,238,yes
28,self-employed,single,tertiary,no,159,no,no,449,yes
68,retired,married,secondary,no,1146,no,no,212,yes
25,student,single,secondary,no,358,no,no,330,yes
36,management,single,secondary,no,1511,yes,no,270,yes
38,technician,married,secondary,no,557,yes,no,1556,yes
53,management,married,tertiary,no,583,no,no,226,yes
34,admin.,single,secondary,no,557,no,no,224,yes
23,student,single,tertiary,no,113,no,no,266,yes
73,retired,married,secondary,no,2850,no,no,300,yes
25,technician,single,secondary,no,505,no,yes,386,yes
51,technician,married,tertiary,no,825,no,no,977,yes
71,retired,divorced,primary,no,1729,no,no,456,yes
72,retired,married,secondary,no,5715,no,no,1127,yes
36,technician,married,secondary,no,368,yes,yes,1597,yes
37,admin.,single,secondary,no,245,yes,yes,732,yes
45,blue-collar,married,secondary,no,154,yes,no,1138,yes
53,services,divorced,primary,no,-291,yes,yes,591,yes
38,admin.,single,secondary,no,100,yes,no,786,yes
30,blue-collar,married,secondary,no,309,yes,no,1574,yes
29,management,married,tertiary,no,199,yes,yes,1689,yes
46,blue-collar,single,tertiary,no,460,yes,no,1102,yes
31,technician,single,tertiary,no,703,yes,no,943,yes
39,blue-collar,married,primary,no,70,no,no,813,yes
35,management,divorced,tertiary,no,3837,yes,no,1084,yes
32,blue-collar,single,primary,no,611,yes,no,541,yes
49,services,married,secondary,no,-8,yes,no,1119,yes
41,admin.,married,secondary,no,55,yes,no,1120,yes
49,admin.,divorced,secondary,no,168,yes,yes,513,yes
28,admin.,divorced,secondary,no,785,yes,no,442,yes
43,management,single,tertiary,no,2067,yes,no,756,yes
43,management,divorced,tertiary,no,388,yes,no,2087,yes
43,blue-collar,married,primary,no,-192,yes,no,1120,yes
37,unemployed,single,secondary,no,381,yes,no,985,yes
35,blue-collar,single,secondary,no,40,yes,no,617,yes
31,technician,single,tertiary,no,22,yes,no,483,yes
46,technician,married,secondary,no,332,yes,no,772,yes
43,blue-collar,single,secondary,no,3,yes,no,929,yes
31,admin.,married,secondary,no,307,yes,no,538,yes
28,blue-collar,single,secondary,no,759,yes,no,710,yes
32,blue-collar,married,secondary,yes,-1,yes,no,653,yes
60,technician,married,primary,no,65,yes,no,1028,yes
26,blue-collar,single,secondary,no,82,yes,no,654,yes
40,blue-collar,married,secondary,no,10,yes,no,1692,yes
28,blue-collar,single,secondary,no,-197,yes,no,2016,yes
33,blue-collar,divorced,primary,no,390,yes,no,665,yes
45,blue-collar,married,primary,no,101,yes,no,460,yes
32,management,single,tertiary,no,311,no,no,757,yes
35,blue-collar,married,primary,no,414,no,no,504,yes
33,management,divorced,secondary,no,5,yes,no,1346,yes
38,management,married,tertiary,no,119,yes,no,568,yes
24,services,single,secondary,yes,-122,yes,no,1000,yes
54,retired,divorced,tertiary,no,0,no,no,618,yes
34,blue-collar,divorced,secondary,no,383,yes,no,2231,yes
23,entrepreneur,single,primary,no,4,yes,no,395,yes
60,blue-collar,married,primary,no,1262,yes,yes,1015,yes
48,management,married,tertiary,no,1949,yes,no,683,yes
45,entrepreneur,divorced,tertiary,no,-395,yes,no,470,yes
36,blue-collar,married,secondary,no,1165,yes,no,1001,yes
52,management,married,unknown,no,2240,yes,no,845,yes
37,entrepreneur,divorced,secondary,no,175,yes,yes,753,yes
46,blue-collar,married,primary,no,369,yes,no,916,yes
35,blue-collar,divorced,primary,no,300,yes,no,945,yes
43,technician,married,secondary,no,3285,yes,no,1721,yes
52,housemaid,married,secondary,no,3923,yes,no,942,yes
53,technician,divorced,primary,no,1443,yes,no,476,yes
48,blue-collar,divorced,primary,no,24,yes,no,832,yes
41,blue-collar,single,primary,no,1618,yes,no,1553,yes
39,management,divorced,tertiary,no,517,yes,yes,1328,yes
59,retired,married,secondary,no,1521,yes,yes,1125,yes
41,blue-collar,married,secondary,no,2823,yes,no,858,yes
48,blue-collar,married,secondary,no,1405,yes,no,629,yes
40,admin.,married,secondary,no,1535,yes,no,704,yes
48,blue-collar,married,secondary,no,1596,yes,no,760,yes
60,retired,married,primary,no,1542,yes,no,930,yes
40,technician,single,unknown,no,3652,yes,no,1028,yes
57,technician,married,tertiary,no,-1,no,no,850,yes
51,blue-collar,married,secondary,no,7180,yes,no,927,yes
41,blue-collar,divorced,secondary,no,5291,yes,no,1423,yes
41,blue-collar,married,secondary,no,1384,yes,no,1162,yes
46,admin.,married,secondary,no,556,yes,yes,646,yes
52,blue-collar,divorced,primary,no,-191,yes,no,755,yes
43,self-employed,single,unknown,no,3173,no,no,746,yes
59,blue-collar,married,primary,no,320,yes,no,695,yes
44,blue-collar,married,unknown,no,146,yes,no,483,yes
49,admin.,single,secondary,no,716,yes,no,1257,yes
49,unknown,married,primary,no,341,yes,yes,520,yes
50,entrepreneur,married,primary,no,461,yes,no,651,yes
40,services,married,primary,no,-9,yes,no,920,yes
41,admin.,married,primary,no,-306,yes,no,500,yes
44,technician,married,tertiary,no,4580,yes,no,911,yes
60,services,single,primary,no,313,yes,no,920,yes
29,management,married,tertiary,no,10576,no,no,1224,yes
41,retired,divorced,primary,no,-233,yes,no,1156,yes
41,blue-collar,married,primary,no,2453,yes,no,1052,yes
42,technician,single,secondary,no,1364,yes,no,1867,yes
46,blue-collar,married,secondary,no,668,yes,no,1263,yes
32,services,single,secondary,no,772,yes,no,697,yes
36,services,single,unknown,no,281,yes,no,515,yes
39,technician,married,tertiary,no,94,yes,yes,813,yes
33,management,married,tertiary,no,273,yes,no,803,yes
42,admin.,divorced,secondary,no,153,yes,no,844,yes
31,self-employed,single,tertiary,no,144,yes,no,676,yes
40,services,married,secondary,no,446,yes,no,1252,yes
26,blue-collar,married,secondary,no,246,yes,no,1143,yes
45,blue-collar,married,primary,no,804,yes,no,528,yes
31,blue-collar,married,secondary,no,92,yes,no,688,yes
29,admin.,single,secondary,no,163,yes,yes,803,yes
27,technician,single,secondary,no,1742,yes,no,787,yes
37,services,divorced,secondary,no,49,yes,no,619,yes
40,blue-collar,married,primary,no,1758,yes,no,1230,yes
33,blue-collar,single,secondary,no,-416,yes,no,767,yes
24,technician,single,secondary,no,409,yes,no,912,yes
24,blue-collar,married,primary,no,656,yes,no,894,yes
50,admin.,divorced,secondary,no,363,yes,no,1340,yes
27,technician,single,tertiary,no,3706,yes,no,897,yes
54,management,single,tertiary,no,4393,yes,no,1297,yes
30,technician,single,secondary,no,863,yes,no,1193,yes
34,blue-collar,married,primary,no,695,yes,yes,1064,yes
37,management,single,secondary,no,792,yes,no,1187,yes
41,admin.,single,secondary,no,1020,yes,no,882,yes
47,blue-collar,married,secondary,no,863,yes,no,943,yes
31,admin.,married,secondary,no,97,yes,no,607,yes
31,blue-collar,married,secondary,no,754,yes,no,1022,yes
43,services,divorced,secondary,no,1040,yes,no,552,yes
37,management,divorced,tertiary,no,122,yes,no,1622,yes
30,technician,single,tertiary,no,880,yes,yes,967,yes
41,technician,married,secondary,no,501,yes,no,579,yes
30,technician,single,tertiary,no,3291,yes,no,1218,yes
36,blue-collar,married,secondary,no,4438,yes,no,446,yes
35,blue-collar,divorced,secondary,no,0,yes,no,1205,yes
29,services,single,secondary,no,271,yes,no,1882,yes
35,blue-collar,married,primary,no,102,yes,no,1334,yes
31,blue-collar,married,secondary,no,2,yes,no,182,yes
35,services,married,secondary,no,4170,yes,no,1777,yes
34,technician,single,secondary,no,85,yes,no,1182,yes
31,admin.,single,secondary,no,431,yes,yes,1045,yes
44,technician,divorced,secondary,no,982,yes,no,650,yes
36,blue-collar,married,primary,no,408,yes,yes,1063,yes
39,technician,single,secondary,no,1022,yes,no,1410,yes
35,blue-collar,married,unknown,no,4822,yes,no,843,yes
41,blue-collar,married,primary,no,1250,yes,no,1392,yes
31,blue-collar,married,secondary,no,3311,yes,no,719,yes
31,blue-collar,single,primary,no,216,yes,no,565,yes
34,blue-collar,married,secondary,no,1207,yes,no,905,yes
32,technician,married,secondary,no,791,yes,no,783,yes
36,management,married,tertiary,no,849,yes,yes,958,yes
30,blue-collar,single,secondary,yes,239,yes,no,412,yes
37,technician,single,secondary,no,1211,yes,no,795,yes
54,management,divorced,tertiary,no,487,yes,no,828,yes
36,blue-collar,married,primary,no,599,yes,no,649,yes
31,management,single,tertiary,no,825,yes,no,506,yes
27,technician,married,secondary,no,2183,yes,yes,857,yes
34,retired,married,primary,no,4499,no,no,1681,yes
32,services,single,secondary,no,-198,yes,no,681,yes
30,technician,single,tertiary,no,1289,yes,no,1697,yes
32,technician,single,tertiary,no,4665,yes,no,860,yes
37,technician,single,secondary,no,3326,yes,no,799,yes
38,blue-collar,married,secondary,no,622,yes,no,611,yes
32,blue-collar,married,secondary,no,783,yes,no,923,yes
33,blue-collar,married,secondary,no,0,yes,no,521,yes
35,blue-collar,married,primary,no,994,yes,no,1349,yes
35,self-employed,divorced,tertiary,no,1354,yes,no,736,yes
30,blue-collar,single,secondary,no,239,yes,no,785,yes
30,blue-collar,married,secondary,no,278,yes,yes,1073,yes
34,blue-collar,married,secondary,no,2495,yes,no,924,yes
45,blue-collar,divorced,primary,no,-311,yes,no,1030,yes
45,admin.,married,secondary,no,149,yes,no,893,yes
33,blue-collar,married,secondary,no,1464,yes,no,588,yes
33,blue-collar,divorced,secondary,no,3546,yes,no,777,yes
44,management,divorced,tertiary,no,5773,no,no,597,yes
40,blue-collar,married,primary,no,278,yes,no,1015,yes
31,blue-collar,married,secondary,no,2910,yes,no,1392,yes
30,technician,married,tertiary,no,541,yes,no,414,yes
44,technician,divorced,secondary,no,1262,yes,no,788,yes
34,services,married,secondary,no,-538,yes,no,682,yes
31,admin.,single,secondary,no,747,yes,no,543,yes
45,blue-collar,married,secondary,no,61,yes,no,745,yes
37,blue-collar,married,secondary,no,125,no,no,679,yes
28,self-employed,single,tertiary,no,0,yes,no,1560,yes
32,admin.,single,secondary,no,620,yes,no,1234,yes
37,blue-collar,divorced,secondary,no,316,yes,no,642,yes
34,management,married,tertiary,no,2287,yes,no,895,yes
38,admin.,divorced,secondary,no,198,yes,no,431,yes
28,admin.,single,secondary,no,460,yes,no,741,yes
31,management,divorced,tertiary,no,1145,yes,no,1272,yes
30,services,married,secondary,no,129,yes,no,1446,yes
30,admin.,married,secondary,no,1265,yes,yes,414,yes
59,services,married,secondary,no,-22,yes,no,748,yes
24,blue-collar,married,secondary,no,685,yes,no,896,yes
26,services,single,secondary,no,901,yes,no,764,yes
59,retired,single,secondary,no,351,yes,no,1063,yes
53,technician,married,secondary,no,-725,yes,no,1205,yes
30,entrepreneur,single,primary,no,0,yes,yes,1051,yes
28,management,single,tertiary,no,939,yes,no,740,yes
37,admin.,married,secondary,no,274,yes,no,731,yes
24,self-employed,single,tertiary,no,2984,yes,no,935,yes
30,admin.,single,secondary,no,-213,yes,yes,751,yes
25,blue-collar,married,secondary,no,97,yes,no,709,yes
44,services,divorced,secondary,no,51,yes,yes,3094,yes
29,management,married,tertiary,no,314,no,no,938,yes
26,management,single,tertiary,no,6840,yes,no,1560,yes
26,technician,single,secondary,no,668,yes,no,576,yes
27,services,single,secondary,no,54,yes,no,543,yes
25,self-employed,single,secondary,no,1242,yes,no,615,yes
28,management,married,secondary,no,292,yes,no,507,yes
23,services,single,secondary,no,665,yes,no,1183,yes
27,blue-collar,single,secondary,no,294,yes,yes,694,yes
23,technician,single,tertiary,no,1129,yes,no,806,yes
46,technician,married,secondary,no,57,no,no,796,yes
23,student,single,unknown,no,854,yes,no,664,yes
57,retired,married,tertiary,no,0,yes,yes,648,yes
34,management,single,tertiary,no,1058,yes,no,864,yes
